x,y,label,label_str
-18.525824,-36.253334,0,正常 (Normal)
-18.5219,-36.277374,0,正常 (Normal)
-18.828053,-35.55588,0,正常 (Normal)
-18.761827,-35.66967,0,正常 (Normal)
-19.082823,-34.245926,0,正常 (Normal)
-19.293463,-33.77598,0,正常 (Normal)
-19.36155,-33.711807,0,正常 (Normal)
-19.40109,-33.683403,0,正常 (Normal)
-19.447672,-33.655804,0,正常 (Normal)
-19.503275,-33.65803,0,正常 (Normal)
-19.862055,-34.149086,0,正常 (Normal)
-19.741673,-34.28331,0,正常 (Normal)
-19.71225,-34.457783,0,正常 (Normal)
-18.780893,-39.658134,0,正常 (Normal)
-18.962898,-40.174316,0,正常 (Normal)
-19.065813,-40.45302,0,正常 (Normal)
-22.525297,-44.357746,0,正常 (Normal)
-22.444601,-44.362488,0,正常 (Normal)
-22.42043,-44.371624,0,正常 (Normal)
-22.409958,-44.361843,0,正常 (Normal)
-22.402107,-44.35952,0,正常 (Normal)
-22.350632,-44.326725,0,正常 (Normal)
-17.991945,-39.56855,0,正常 (Normal)
-18.134886,-38.87519,0,正常 (Normal)
-18.440065,-38.43004,0,正常 (Normal)
-20.291578,-40.620014,0,正常 (Normal)
-19.077248,-38.779556,0,正常 (Normal)
-19.054972,-38.82239,0,正常 (Normal)
-19.58184,-40.819237,0,正常 (Normal)
-19.209478,-40.679974,0,正常 (Normal)
-17.201185,-39.07578,0,正常 (Normal)
-16.995949,-38.761166,0,正常 (Normal)
-17.221153,-39.116997,0,正常 (Normal)
-19.342457,-40.904846,0,正常 (Normal)
-22.57132,-44.399048,0,正常 (Normal)
-22.504166,-44.41058,0,正常 (Normal)
-22.461744,-44.417915,0,正常 (Normal)
-18.905806,-40.788612,0,正常 (Normal)
-19.017282,-40.906197,0,正常 (Normal)
-22.165293,-44.22402,0,正常 (Normal)
-22.067717,-44.152027,0,正常 (Normal)
-21.963606,-44.032944,0,正常 (Normal)
-18.108631,-38.773933,0,正常 (Normal)
-18.271292,-38.53695,0,正常 (Normal)
-18.284004,-38.294,0,正常 (Normal)
-18.31808,-38.13189,0,正常 (Normal)
-18.082237,-37.257324,0,正常 (Normal)
-17.925594,-37.310623,0,正常 (Normal)
-18.069334,-37.216087,0,正常 (Normal)
-17.880127,-37.388016,0,正常 (Normal)
-19.63801,-40.07302,0,正常 (Normal)
-19.67945,-40.39385,0,正常 (Normal)
-19.616186,-40.764412,0,正常 (Normal)
-19.649733,-40.876347,0,正常 (Normal)
-19.6302,-41.14423,0,正常 (Normal)
-22.31651,-44.254147,0,正常 (Normal)
-22.818407,-44.460464,0,正常 (Normal)
-22.515972,-44.385147,0,正常 (Normal)
-19.556047,-41.18467,0,正常 (Normal)
-18.773617,-40.34475,0,正常 (Normal)
-17.531094,-36.36994,0,正常 (Normal)
-18.53222,-35.172707,0,正常 (Normal)
-18.7897,-34.699924,0,正常 (Normal)
-20.043371,-38.258038,0,正常 (Normal)
-20.302137,-38.819675,0,正常 (Normal)
-20.586554,-40.116123,0,正常 (Normal)
-19.910385,-39.35411,0,正常 (Normal)
-19.649614,-39.827156,0,正常 (Normal)
-18.075266,-36.604553,0,正常 (Normal)
-18.088617,-36.58189,0,正常 (Normal)
-18.479603,-36.002953,0,正常 (Normal)
-20.4238,-40.351776,0,正常 (Normal)
-20.450293,-40.273014,0,正常 (Normal)
-20.519852,-40.359856,0,正常 (Normal)
-19.767664,-39.62075,0,正常 (Normal)
-19.133207,-39.045418,0,正常 (Normal)
-19.194654,-39.283222,0,正常 (Normal)
-19.198313,-39.335167,0,正常 (Normal)
-19.26728,-39.16107,0,正常 (Normal)
-20.29367,-40.45089,0,正常 (Normal)
-20.328356,-40.42336,0,正常 (Normal)
-20.27261,-40.394478,0,正常 (Normal)
-18.571186,-36.104626,0,正常 (Normal)
-18.563837,-36.053787,0,正常 (Normal)
-18.685905,-35.832527,0,正常 (Normal)
-19.79081,-38.527847,0,正常 (Normal)
-20.070023,-39.071438,0,正常 (Normal)
-20.137695,-39.16778,0,正常 (Normal)
-20.391087,-40.12419,0,正常 (Normal)
-19.795174,-39.586662,0,正常 (Normal)
-19.660133,-39.748196,0,正常 (Normal)
-18.504595,-36.284496,0,正常 (Normal)
-18.598026,-36.08363,0,正常 (Normal)
-18.743721,-35.36505,0,正常 (Normal)
-18.866934,-35.488808,0,正常 (Normal)
-19.381123,-35.781387,0,正常 (Normal)
-19.392101,-35.75957,0,正常 (Normal)
-20.168419,-38.18054,0,正常 (Normal)
-20.093418,-38.325947,0,正常 (Normal)
-19.924694,-38.48949,0,正常 (Normal)
-19.402365,-37.820484,0,正常 (Normal)
-18.654768,-36.11655,0,正常 (Normal)
-18.678724,-36.071106,0,正常 (Normal)
-18.734821,-35.474487,0,正常 (Normal)
-18.787264,-35.36401,0,正常 (Normal)
-18.828508,-35.25284,0,正常 (Normal)
-18.846449,-35.207436,0,正常 (Normal)
-20.016073,-38.484104,0,正常 (Normal)
-19.83934,-38.66135,0,正常 (Normal)
-19.573004,-38.90538,0,正常 (Normal)
-18.767569,-38.342594,0,正常 (Normal)
-18.507256,-38.501926,0,正常 (Normal)
-18.484592,-38.533165,0,正常 (Normal)
-18.850006,-38.565792,0,正常 (Normal)
-19.33211,-38.999863,0,正常 (Normal)
-19.334785,-38.875443,0,正常 (Normal)
-19.253656,-37.768276,0,正常 (Normal)
-19.706434,-38.678505,0,正常 (Normal)
-19.817572,-39.39288,0,正常 (Normal)
-19.417192,-38.795513,0,正常 (Normal)
-19.491995,-38.85025,0,正常 (Normal)
-19.267601,-38.84708,0,正常 (Normal)
-18.30957,-36.696068,0,正常 (Normal)
-18.614208,-35.710575,0,正常 (Normal)
-18.697954,-35.527374,0,正常 (Normal)
-18.68518,-35.874413,0,正常 (Normal)
-18.74257,-35.43429,0,正常 (Normal)
-18.69546,-35.95503,0,正常 (Normal)
-18.73931,-36.32586,0,正常 (Normal)
-18.166538,-37.87917,0,正常 (Normal)
-17.737537,-38.147724,0,正常 (Normal)
-18.748154,-39.52043,0,正常 (Normal)
-18.961584,-40.086395,0,正常 (Normal)
